it,ft,bt,km,transmission,ownerNo,owner,oem,model,modelYear,centralVariantId,variantName,price,priceActual,priceSaving,priceFixedText,trendingText.imgUrl,trendingText.heading,trendingText.desc
0,Petrol,Hatchback,"1,20,000",Manual,3,3rd Owner,Maruti,Maruti Celerio,2015,3979,VXI,₹ 4 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,SUV,"32,706",Manual,2,2nd Owner,Ford,Ford Ecosport,2018,6087,1.5 Petrol Titanium BSIV,₹ 8.11 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Hatchback,"11,949",Manual,1,1st Owner,Tata,Tata Tiago,2018,2983,1.2 Revotron XZ,₹ 5.85 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Sedan,"17,794",Manual,1,1st Owner,Hyundai,Hyundai Xcent,2014,1867,1.2 Kappa S Option,₹ 4.62 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Diesel,SUV,"60,000",Manual,1,1st Owner,Maruti,Maruti SX4 S Cross,2015,4277,DDiS 200 Zeta,₹ 7.90 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Diesel,SUV,"20,000",Manual,1,1st Owner,Jeep,Jeep Compass,2020,5931,2.0 Longitude BSIV,₹ 19 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Hatchback,"37,772",Manual,1,1st Owner,Datsun,Datsun GO,2017,5223,T Option BSIV,₹ 3.45 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,SUV,"30,000",Automatic,1,1st Owner,Hyundai,Hyundai Venue,2021,6946,SX Plus Turbo DCT BSIV,₹ 12 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Sedan,"37,000",Automatic,1,1st Owner,Maruti,Maruti Ciaz,2018,6555,Alpha Automatic BSIV,₹ 9.60 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Hatchback,"11,949",Manual,1,1st Owner,Tata,Tata Tiago,2017,2985,1.2 Revotron XZ WO Alloy,₹ 5.85 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Hatchback,"50,000",Manual,1,1st Owner,Maruti,Maruti Baleno,2018,3962,1.2 Delta,₹ 6.90 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Hatchback,"24,887",Automatic,1,1st Owner,Hyundai,Hyundai Grand i10,2019,5606,1.2 Kappa Sportz Option AT,₹ 6.82 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Hatchback,"23,000",Automatic,1,1st Owner,Honda,Honda Jazz,2018,6506,VX CVT,₹ 8.25 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Hatchback,"48,928",Automatic,1,1st Owner,Tata,Tata Tiago,2018,5653,1.2 Revotron XZA,₹ 5.95 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Diesel,SUV,"1,08,862",Manual,3,3rd Owner,Mahindra,Mahindra XUV500,2014,3822,W6 2WD,₹ 6.90 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Diesel,SUV,"80,000",Manual,1,1st Owner,Jeep,Jeep Compass,2018,5929,2.0 Limited,₹ 13.50 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Diesel,SUV,"16,000",Automatic,1,1st Owner,Mercedes-Benz,Mercedes-Benz GLA,2022,8437,220d 4M BSVI,₹ 55.95 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Diesel,Hatchback,"65,376",Manual,2,2nd Owner,Hyundai,Hyundai i20,2014,1657,Asta 1.4 CRDi,₹ 5.21 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,SUV,"10,000",Manual,1,1st Owner,Tata,Tata Nexon,2022,9207,XM Plus S BSVI,₹ 10.05 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Sedan,"67,000",Manual,2,2nd Owner,Honda,Honda City,2016,1215,i VTEC V,₹ 7.75 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Diesel,Sedan,"1,00,000",Automatic,3,3rd Owner,BMW,BMW 5 Series,2011,5293,520d Sedan,₹ 22 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Hatchback,"18,083",Manual,1,1st Owner,Maruti,Maruti Swift,2016,10403,VXI,₹ 5.82 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,SUV,"30,000",Manual,1,1st Owner,Renault,Renault Duster,2020,7703,RXS,₹ 10.90 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Hatchback,"57,634",Manual,2,2nd Owner,Tata,Tata Tiago,2016,2983,1.2 Revotron XZ,₹ 4.57 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Sedan,"50,000",Automatic,2,2nd Owner,Mercedes-Benz,Mercedes-Benz S-Class,2016,4716,S 500 L,₹ 49 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Sedan,"1,10,000",Manual,1,1st Owner,Honda,Honda City,2015,1279,i VTEC V,₹ 5.50 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Hatchback,"23,447",Automatic,1,1st Owner,Hyundai,Hyundai Santro,2018,6670,Sportz AMT BSIV,₹ 5.70 Lakh,₹ 5.85 Lakh,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Lpg,Hatchback,"30,000",Manual,2,2nd Owner,Hyundai,Hyundai Santro Xing,2009,1712,GLS LPG,₹ 2.20 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Sedan,"33,000",Automatic,1,1st Owner,Mercedes-Benz,Mercedes-Benz E-Class,2017,7578,Exclusive E 200,₹ 41.45 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Diesel,SUV,"87,667",Manual,2,2nd Owner,Mahindra,Mahindra XUV500,2014,3822,W6 2WD,₹ 8.61 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Diesel,Sedan,"40,000",Automatic,2,2nd Owner,Audi,Audi A4,2016,12,35 TDI Premium,₹ 17.85 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Diesel,SUV,"79,012",Manual,2,2nd Owner,Mahindra,Mahindra XUV500,2014,3823,W8 2WD,₹ 8.03 Lakh,₹ 8.21 Lakh,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Diesel,SUV,"31,344",Manual,1,1st Owner,Jeep,Jeep Compass,2021,8320,Model S Diesel BSVI,₹ 25.65 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Sedan,"50,000",Manual,1,1st Owner,Hyundai,Hyundai Xcent,2018,5785,1.2 VTVT SX,₹ 6.74 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Hatchback,"12,434",Manual,1,1st Owner,Maruti,Maruti Wagon R,2015,4310,VXI BS IV,₹ 3.49 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,MUV,"60,000",Manual,2,2nd Owner,Maruti,Maruti Ertiga,2019,6701,ZXI Plus Petrol,₹ 10.50 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Diesel,Sedan,"12,000",Automatic,1,1st Owner,Mercedes-Benz,Mercedes-Benz C-Class,2019,6598,Progressive C 220d,₹ 44.25 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Hatchback,"40,987",Manual,2,2nd Owner,Maruti,Maruti Wagon R,2015,4310,VXI BS IV,₹ 4.06 Lakh,₹ 4.11 Lakh,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Sedan,"18,157",Automatic,1,1st Owner,BMW,BMW 5 Series,2020,7582,530i Sport,₹ 49.65 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Diesel,SUV,"1,20,000",Manual,3,3rd Owner,Toyota,Toyota Fortuner,2011,2263,3.0 Diesel,₹ 11 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Diesel,SUV,"40,000",Automatic,2,2nd Owner,Renault,Renault Duster,2020,7022,RXZ 110PS AMT BSIV,₹ 11 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Hatchback,"89,667",Manual,1,1st Owner,Hyundai,Hyundai i20,2016,1481,Sportz 1.2,₹ 5.94 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Diesel,Hatchback,"1,20,000",Manual,1,1st Owner,Hyundai,Hyundai i20,2017,1610,Asta Option 1.4 CRDi,₹ 7.10 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Hatchback,"56,997",Manual,1,1st Owner,Maruti,Maruti Baleno,2017,3969,1.2 Zeta,₹ 6.92 Lakh,₹ 6.99 Lakh,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Sedan,"1,20,000",Manual,1,1st Owner,Hyundai,Hyundai Elantra,2013,1471,SX,₹ 6.50 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Diesel,Sedan,"59,000",Automatic,1,1st Owner,Audi,Audi A6,2015,36,35 TDI,₹ 20.90 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Hatchback,"18,835",Manual,1,1st Owner,Maruti,Maruti Alto 800,2021,7277,VXI Plus BSVI,₹ 4.11 Lakh,₹ 4.20 Lakh,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Diesel,SUV,"1,20,000",Manual,2,2nd Owner,Mahindra,Mahindra Scorpio,2010,5716,SLE 7S BSIII,₹ 6.50 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Hatchback,"40,000",Automatic,1,1st Owner,Mini,Mini 3 DOOR,2016,5176,Cooper S BSVI,₹ 36.75 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Hatchback,"60,932",Manual,1,1st Owner,Tata,Tata Tiago,2019,6969,XZ Plus,₹ 6.10 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,SUV,"33,539",Automatic,2,2nd Owner,Kia,Kia Seltos,2020,7122,GTX Plus DCT,₹ 16.75 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Hatchback,"66,837",Manual,2,2nd Owner,Tata,Tata Tiago,2018,2985,1.2 Revotron XZ WO Alloy,₹ 5.30 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Diesel,Sedan,400,Automatic,1,1st Owner,Mercedes-Benz,Mercedes-Benz E-Class,2022,7406,AMG E 350d BSVI,₹ 79.90 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Hatchback,"60,000",Manual,2,2nd Owner,Maruti,Maruti Alto,2008,3903,LXi,₹ 2.50 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Hatchback,"44,285",Manual,1,1st Owner,Hyundai,Hyundai i20,2019,6808,Magna Plus BSIV,₹ 7.15 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Diesel,SUV,"1,00,000",Automatic,2,2nd Owner,Mercedes-Benz,Mercedes-Benz GL-Class,2014,4634,350 CDI Blue Efficiency,₹ 35 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Diesel,SUV,"25,000",Automatic,1,1st Owner,Tata,Tata New Safari,2021,8311,XZA Plus 6 Str AT BSVI,₹ 22.50 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Hatchback,"36,735",Manual,1,1st Owner,Hyundai,Hyundai Grand i10,2018,5607,1.2 Kappa Asta,₹ 6.25 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Diesel,SUV,"79,000",Automatic,1,1st Owner,Audi,Audi Q7,2015,122,35 TDI Quattro Premium Plus,₹ 26.95 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Diesel,SUV,"1,20,000",Manual,2,2nd Owner,Mahindra,Mahindra Scorpio,2010,3700,SLE BSIII,₹ 6.50 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Hatchback,"10,000",Automatic,1,1st Owner,Renault,Renault KWID,2022,7433,1.0 RXT AMT Opt,₹ 5.50 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Diesel,SUV,"53,645",Manual,1,1st Owner,Tata,Tata Nexon,2018,5996,1.5 Revotorq XM,₹ 8.25 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Hatchback,"1,00,000",Manual,2,2nd Owner,Hyundai,Hyundai Getz,2006,1511,GLS,₹ 2.20 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Hatchback,"53,982",Automatic,1,1st Owner,Maruti,Maruti Celerio,2014,10358,VXI AMT,₹ 4.28 Lakh,₹ 4.36 Lakh,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Diesel,Sedan,"1,10,000",Manual,1,1st Owner,Skoda,Skoda Rapid,2014,3152,1.5 TDI Ambition With Alloy Wheel,₹ 6.95 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,SUV,"37,741",Manual,2,2nd Owner,Ford,Ford Ecosport,2019,7350,1.5 Petrol Titanium,₹ 9.30 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Hatchback,"17,367",Manual,1,1st Owner,Maruti,Maruti Alto 800,2021,7277,VXI Plus BSVI,₹ 4.55 Lakh,₹ 4.60 Lakh,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Diesel,SUV,"94,000",Manual,1,1st Owner,Hyundai,Hyundai Creta,2017,1443,1.6 CRDi SX Plus,₹ 11.95 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Diesel,SUV,"33,700",Automatic,1,1st Owner,Tata,Tata Harrier,2021,9846,XZA Plus AT,₹ 21.75 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Hatchback,"54,601",Manual,3,3rd Owner,Maruti,Maruti Swift,2014,10403,VXI,₹ 4.42 Lakh,₹ 4.63 Lakh,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Diesel,Hatchback,"1,10,000",Manual,1,1st Owner,Maruti,Maruti Swift,2018,6195,VDI,₹ 6.90 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Hatchback,"64,000",Manual,2,2nd Owner,Maruti,Maruti Celerio,2017,3983,ZXI Optional,₹ 5 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Diesel,Sedan,"40,525",Automatic,1,1st Owner,BMW,BMW 3 Series GT,2016,6631,Luxury Line,₹ 33.95 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Diesel,Sedan,"1,00,000",Manual,1,1st Owner,Maruti,Maruti Ciaz,2015,4002,VDi Plus,₹ 6.50 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Hatchback,"44,154",Automatic,2,2nd Owner,Honda,Honda Jazz,2016,1340,1.2 V AT i VTEC,₹ 5.37 Lakh,₹ 5.81 Lakh,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Diesel,MUV,"70,000",Manual,1,1st Owner,Renault,Renault Lodgy,2016,5099,110PS RxZ 7 Seater,₹ 7.50 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Sedan,"79,000",Automatic,1,1st Owner,Skoda,Skoda Octavia,2018,6121,1.8 TSI AT L K,₹ 17.90 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Hatchback,"68,039",Manual,2,2nd Owner,Tata,Tata Tiago,2017,2969,1.2 Revotron XT,₹ 4.68 Lakh,₹ 5.15 Lakh,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Hatchback,"60,000",Manual,2,2nd Owner,Maruti,Maruti Ritz,2014,4141,VXi,₹ 4.20 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Hatchback,"60,000",Manual,2,2nd Owner,Maruti,Maruti Ritz,2014,4141,VXi,₹ 4.20 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Hatchback,"10,000",Manual,1,1st Owner,Hyundai,Hyundai i20,2021,8171,Asta Turbo iMT DT,₹ 9.20 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Sedan,"49,873",Manual,1,1st Owner,Honda,Honda City,2013,1264,V MT,₹ 5.33 Lakh,₹ 5.93 Lakh,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Hatchback,"90,000",Automatic,3,3rd Owner,Volkswagen,Volkswagen Polo,2013,1961,GT TSI,₹ 8.50 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Diesel,Sedan,"48,960",Manual,2,2nd Owner,Skoda,Skoda Rapid,2017,3141,1.5 TDI Ambition BSIV,₹ 7.51 Lakh,₹ 7.80 Lakh,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Diesel,Hatchback,"70,000",Manual,2,2nd Owner,Hyundai,Hyundai Grand i10,2014,1551,CRDi Era,₹ 3.88 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Hatchback,"68,000",Manual,2,2nd Owner,Hyundai,Hyundai i20,2013,1654,Sportz 1.2,₹ 4.90 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Diesel,SUV,"23,017",Manual,1,1st Owner,Mahindra,Mahindra KUV 100,2016,3558,mFALCON D75 K6,₹ 4.94 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Diesel,Hatchback,"83,000",Manual,2,2nd Owner,Hyundai,Hyundai i20,2013,1657,Asta 1.4 CRDi,₹ 5.25 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Diesel,SUV,"92,000",Automatic,2,2nd Owner,BMW,BMW X3,2016,9775,xDrive20d xLine,₹ 28.90 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Hatchback,"62,139",Manual,1,1st Owner,Maruti,Maruti Wagon R,2018,5589,VXI Plus Optional,₹ 5.50 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Lpg,Hatchback,"74,000",Manual,1,1st Owner,Hyundai,Hyundai i10,2013,1575,Magna LPG,₹ 3.65 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Hatchback,"26,500",Automatic,2,2nd Owner,Renault,Renault KWID,2016,5431,1.0 AMT RXT,₹ 4.20 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Diesel,Sedan,"81,716",Automatic,1,1st Owner,Volvo,Volvo S60,2017,2061,D4 KINETIC,₹ 18.95 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Diesel,Sedan,"24,000",Automatic,2,2nd Owner,Mercedes-Benz,Mercedes-Benz E-Class,2018,7577,E 350d,₹ 59.90 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,SUV,"10,000",Automatic,1,1st Owner,Mahindra,Mahindra XUV300,2022,8391,W6 AMT Sunroof BSVI,₹ 10.50 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,SUV,"18,000",Automatic,1,1st Owner,MG,MG Hector Plus,2021,8344,Sharp CVT,₹ 20.75 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Hatchback,"38,197",Manual,1,1st Owner,Honda,Honda Brio,2013,1203,S MT,₹ 3.94 Lakh,₹ 4.15 Lakh,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Hatchback,"23,000",Automatic,2,2nd Owner,Maruti,Maruti Baleno,2017,6782,Zeta CVT,₹ 7.25 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Hatchback,"50,000",Manual,1,1st Owner,Maruti,Maruti Alto K10,2013,3957,LXI,₹ 2.40 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,SUV,"10,000",Automatic,1,1st Owner,Renault,Renault Kiger,2022,8367,RXZ AMT DT,₹ 8.35 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Hatchback,"19,000",Manual,1,1st Owner,Hyundai,Hyundai Grand i10,2019,5607,1.2 Kappa Asta,₹ 6.95 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,SUV,"14,000",Automatic,1,1st Owner,Kia,Kia Seltos,2020,7122,GTX Plus DCT,₹ 17.25 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Hatchback,"29,268",Manual,1,1st Owner,Hyundai,Hyundai EON,2014,1503,Magna Plus,₹ 3.30 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Sedan,"20,000",Automatic,1,1st Owner,Volkswagen,Volkswagen Vento,2019,5595,1.2 TSI Highline Plus AT,₹ 9.90 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Sedan,"30,000",Manual,1,1st Owner,Toyota,Toyota Yaris,2018,6400,G BSIV,₹ 7.50 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Hatchback,"64,374",Automatic,1,1st Owner,Honda,Honda Jazz,2018,1340,1.2 V AT i VTEC,₹ 7.55 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Diesel,SUV,"30,000",Manual,1,1st Owner,MG,MG Hector,2021,6939,Sharp Diesel MT BSIV,₹ 17.50 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,SUV,"7,100",Automatic,1,1st Owner,Hyundai,Hyundai Alcazar,2022,10187,Signature (O) AT,₹ 20.83 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Hatchback,"43,679",Manual,1,1st Owner,Hyundai,Hyundai i10,2010,1577,Era 1.1 iTech SE,₹ 2.71 Lakh,₹ 2.78 Lakh,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
